semel,year,school,city,city_norm,match_stage,cluster,index_value,population,locality_form,ses_locality_name,log_population,district,sector,supervision,legal_status,education_stage,nurture_quintile,avg_class_size,total_budget_per_student,teaching_budget_per_student,tuition_per_student,perimeter_per_student,projects_per_student,purchases_per_student,transport_per_student,private_hours_per_student,special_ed_share,log_school_size,math_avg_grade,english_avg_grade,math_5unit_participation,english_5unit_participation,math_takers_total,english_takers_total,students_regular,students_special,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private
460428,2014,אולפנת שעלבים,שעלבים,שעלבים,exact,3.0,-0.736,1764.0,330.0,שעלבים,7.475905969367397,מרכז,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",1.0,31.42105263157895,19461.663411199093,8569.488438693468,7578.972378559454,1122.5278726968177,142.3813567839196,377.53308142337687,91.6441541038526,0.15607063093243997,0.022913256955810146,6.416732282512326,86.95333333333333,89.33588235294118,0.08333333333333333,0.6486486486486487,72.0,74.0,597.0,14.0,11618613.05648586,5115984.5979,4524646.509999994,670149.1400000001,85001.67000000001,225387.249609756,54711.560000000005,93.17416666666666
460428,2015,אולפנת שעלבים,שעלבים,שעלבים,exact,3.0,-0.736,1764.0,330.0,שעלבים,7.475905969367397,מרכז,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",1.0,31.42105263157895,19461.663411199093,8569.488438693468,7578.972378559454,1122.5278726968177,142.3813567839196,377.53308142337687,91.6441541038526,0.15607063093243997,0.022913256955810146,6.416732282512326,92.75,87.52168674698794,0.11627906976744186,0.7159090909090909,86.0,88.0,597.0,14.0,11618613.05648586,5115984.5979,4524646.509999994,670149.1400000001,85001.67000000001,225387.249609756,54711.560000000005,93.17416666666666
460428,2016,אולפנת שעלבים,שעלבים,שעלבים,exact,3.0,-0.736,1764.0,330.0,שעלבים,7.475905969367397,מרכז,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",1.0,31.42105263157895,19461.663411199093,8569.488438693468,7578.972378559454,1122.5278726968177,142.3813567839196,377.53308142337687,91.6441541038526,0.15607063093243997,0.022913256955810146,6.416732282512326,90.02619047619048,87.15074074074074,0.21428571428571427,0.6419753086419753,84.0,81.0,597.0,14.0,11618613.05648586,5115984.5979,4524646.509999994,670149.1400000001,85001.67000000001,225387.249609756,54711.560000000005,93.17416666666666
460436,2013,עולמות תכון חרד.בנות,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,יהודי,חרדי,מוכר,עליונה בלבד,,20.33333333333333,29625.005133447474,0.0,29309.5381147541,9.86311475409836,300.7235245901639,9.452182627793663,-4.571803278688525,0.0,0.0,4.812184355372417,74.92999999999999,86.79,0.0,0.0,14.0,14.0,122.0,0.0,3614250.626280592,0.0,3575763.6500000004,1203.3,36688.27,1153.1662805908268,-557.76,0.0
460436,2014,עולמות תכון חרד.בנות,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,יהודי,חרדי,מוכר,עליונה בלבד,,20.33333333333333,29625.005133447474,0.0,29309.5381147541,9.86311475409836,300.7235245901639,9.452182627793663,-4.571803278688525,0.0,0.0,4.812184355372417,,,0.0,0.0,8.0,6.0,122.0,0.0,3614250.626280592,0.0,3575763.6500000004,1203.3,36688.27,1153.1662805908268,-557.76,0.0
460436,2015,עולמות תכון חרד.בנות,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,יהודי,חרדי,מוכר,עליונה בלבד,,20.33333333333333,29625.005133447474,0.0,29309.5381147541,9.86311475409836,300.7235245901639,9.452182627793663,-4.571803278688525,0.0,0.0,4.812184355372417,,,0.0,0.0,8.0,6.0,122.0,0.0,3614250.626280592,0.0,3575763.6500000004,1203.3,36688.27,1153.1662805908268,-557.76,0.0
460436,2016,עולמות תכון חרד.בנות,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,יהודי,חרדי,מוכר,עליונה בלבד,,20.33333333333333,29625.005133447474,0.0,29309.5381147541,9.86311475409836,300.7235245901639,9.452182627793663,-4.571803278688525,0.0,0.0,4.812184355372417,,80.13,0.0,0.0,8.0,16.0,122.0,0.0,3614250.626280592,0.0,3575763.6500000004,1203.3,36688.27,1153.1662805908268,-557.76,0.0
460543,2016,אור שערים,מודיעין עילית,מודיעין עילית,exact,1.0,-2.099,64179.0,,מודיעין עילית,11.069446914663848,ירושלים,יהודי,חרדי,מוכר,עליונה בלבד,4.0,19.0,14750.823607894732,0.0,14615.346052631576,9.697105263157894,122.23552631578947,9.288081578947368,-5.743157894736842,0.0,0.0,4.343805421853684,,79.25,0.0,0.0,10.0,12.0,76.0,0.0,1121062.5941999997,0.0,1110766.2999999998,736.98,9289.9,705.8942,-436.48,0.0
460576,2016,עתיד מ.חנוך טכנולוגי,לוד,לוד,exact,3.0,-0.491,72578.0,,לוד,11.192430902771898,מרכז,ערבי,ממלכתי,מוכר,עליונה בלבד,,15.375,25930.18769236848,0.0,24342.921382113822,7.370325203252032,236.62081300813009,1347.106066352209,-3.830894308943089,0.0,0.0,4.820281565605037,,,,0.0,,5.0,123.0,0.0,3189413.086161323,0.0,2994179.33,906.55,29104.36,165694.0461613217,-471.2,0.0
460592,2013,פרומיס סקול על יסודי,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,ערבי,ממלכתי,מוכר,עליונה בלבד,3.0,23.75,6957.133125978211,0.0,6491.780315789474,12.288736842105264,239.30842105263156,219.70470492557922,-5.949052631578947,0.0,0.0,4.564348191467836,88.14,89.33,0.0,0.0,14.0,12.0,95.0,0.0,660927.64696793,0.0,616719.13,1167.43,22734.3,20871.946967930027,-565.16,0.0
460592,2014,פרומיס סקול על יסודי,ירושלים,ירושלים,exact,2.0,-0.919,863795.0,,ירושלים,13.669091908796466,ירושלים,ערבי,ממלכתי,מוכר,עליונה בלבד,3.0,23.75,6957.133125978211,0.0,6491.780315789474,12.288736842105264,239.30842105263156,219.70470492557922,-5.949052631578947,0.0,0.0,4.564348191467836,80.6,80.64,0.0,0.0,25.0,24.0,95.0,0.0,660927.64696793,0.0,616719.13,1167.43,22734.3,20871.946967930027,-565.16,0.0
