locality_code,locality_name,locality_form,population,index_value,cluster,locality_norm
705.0,נחשונים,330,332.0,0.826,7.0,נחשונים
716.0,אייל,330,482.0,0.955,7.0,אייל
808.0,ניר אליהו,330,505.0,0.961,7.0,ניר אליהו
355.0,חורשים,330,311.0,1.057,8.0,חורשים
870.0,גבעת השלושה,330,783.0,1.162,8.0,גבעת השלושה
871.0,עינת,330,786.0,1.282,8.0,עינת
1148.0,צור נתן,320,296.0,1.344,8.0,צור נתן
128.0,גת רימון,350,300.0,1.39,8.0,גת רימון
717.0,חגור,310,1135.0,1.424,8.0,חגור
2015.0,שדי חמד,310,1021.0,1.471,8.0,שדי חמד
249.0,כפר סירקין,310,1333.0,1.473,8.0,כפר סירקין
1345.0,צור יצחק,190,4246.0,1.482,8.0,צור יצחק
1315.0,מתן,190,3613.0,1.501,8.0,מתן
230.0,מעש,310,838.0,1.591,8.0,מעש
98.0,"כפר מל""ל",310,328.0,1.666,9.0,כפר מל ל
858.0,נווה ירק,310,1353.0,1.684,9.0,נווה ירק
206.0,רמות השבים,350,1651.0,1.689,9.0,רמות השבים
284.0,שדה ורבורג,310,1483.0,1.746,9.0,שדה ורבורג
218.0,גני עם,350,240.0,1.756,9.0,גני עם
207.0,"גבעת ח""ן",310,362.0,1.759,9.0,גבעת ח ן
198.0,צופית,310,1302.0,1.805,9.0,צופית
2035.0,עדנים,310,479.0,1.815,9.0,עדנים
239.0,גן חיים,310,816.0,1.828,9.0,גן חיים
722.0,מגשימים,310,1064.0,1.829,9.0,מגשימים
183.0,ירקונה,310,399.0,1.995,9.0,ירקונה
1236.0,נירית,370,1169.0,2.213,9.0,נירית
547.0,טמרה (יזרעאל),450,1513.0,-1.201,2.0,טמרה
635.0,מוקייבלה,290,3719.0,-1.052,2.0,מוקייבלה
497.0,טייבה (בעמק),450,1751.0,-1.036,2.0,טייבה
524.0,נאעורה,290,2131.0,-0.892,2.0,נאעורה
86.0,גבע,330,625.0,-0.616,3.0,גבע
95.0,בית אלפא,330,853.0,-0.552,3.0,בית אלפא
636.0,צנדלה,450,1572.0,-0.5,3.0,צנדלה
452.0,יזרעאל,330,566.0,-0.368,4.0,יזרעאל
89.0,עין חרוד (איחוד),330,529.0,-0.349,4.0,עין חרוד
145.0,גדיש,310,399.0,-0.251,4.0,גדיש
113.0,אדירים,310,267.0,0.011,5.0,אדירים
1110.0,חבר,350,429.0,0.234,6.0,חבר
82.0,עין חרוד (מאוחד),330,735.0,0.249,6.0,עין חרוד
1155.0,מגן שאול,310,614.0,0.253,6.0,מגן שאול
2052.0,אביטל,310,499.0,0.319,6.0,אביטל
164.0,מלאה,310,390.0,0.333,6.0,מלאה
84.0,תל יוסף,330,533.0,0.399,6.0,תל יוסף
90.0,חפצי-בה,330,519.0,0.403,6.0,חפצי-בה
1108.0,אומן,350,327.0,0.436,6.0,אומן
2053.0,פרזון,310,320.0,0.526,7.0,פרזון
442.0,גדעונה,350,411.0,0.528,7.0,גדעונה
2054.0,מיטב,310,461.0,0.622,7.0,מיטב
165.0,ניר יפה,310,678.0,0.635,7.0,ניר יפה
141.0,ברק,310,422.0,0.661,7.0,ברק
242.0,בית השיטה,330,1202.0,0.755,7.0,בית השיטה
269.0,מולדת,320,979.0,0.88,7.0,מולדת
1274.0,גן נר,190,2643.0,0.882,7.0,גן נר
146.0,דבורה,310,227.0,0.928,7.0,דבורה
1069.0,רם-און,310,996.0,1.108,8.0,רם-און
339.0,רמת צבי,310,592.0,1.341,8.0,רמת צבי
85.0,כפר יחזקאל,310,1051.0,1.365,8.0,כפר יחזקאל
1213.0,צבעון,330,,,,צבעון
667.0,ברעם,330,579.0,-0.667,3.0,ברעם
77.0,איילת השחר,330,1456.0,-0.302,4.0,איילת השחר
578.0,סאסא,330,398.0,-0.176,5.0,סאסא
623.0,יראון,330,386.0,0.031,5.0,יראון
76.0,כפר גלעדי,330,644.0,0.134,5.0,כפר גלעדי
35.0,גדות,330,406.0,0.345,6.0,גדות
596.0,מלכייה,330,442.0,0.373,6.0,מלכייה
443.0,כפר הנשיא,330,824.0,0.407,6.0,כפר הנשיא
347.0,מנרה,330,224.0,0.435,6.0,מנרה
408.0,נאות מרדכי,330,534.0,0.449,6.0,נאות מרדכי
308.0,מחניים,330,678.0,0.504,7.0,מחניים
345.0,כפר סאלד,330,589.0,0.533,7.0,כפר סאלד
378.0,משגב עם,330,316.0,0.552,7.0,משגב עם
852.0,גונן,330,329.0,0.589,7.0,גונן
253.0,חולתה,330,575.0,0.589,7.0,חולתה
366.0,שמיר,330,889.0,0.602,7.0,שמיר
302.0,דפנה,330,896.0,0.629,7.0,דפנה
319.0,עמיר,330,524.0,0.655,7.0,עמיר
357.0,כפר בלום,330,666.0,0.663,7.0,כפר בלום
303.0,דן,330,650.0,0.674,7.0,דן
380.0,להבות הבשן,330,854.0,0.676,7.0,להבות הבשן
453.0,יפתח,330,505.0,0.754,7.0,יפתח
385.0,עמיעד,330,421.0,0.767,7.0,עמיעד
416.0,מעיין ברוך,330,735.0,0.781,7.0,מעיין ברוך
356.0,הגושרים,330,707.0,0.832,7.0,הגושרים
329.0,שדה נחמיה,330,1097.0,0.837,7.0,שדה נחמיה
1211.0,קדרים,330,189.0,1.011,8.0,קדרים
1132.0,שניר,330,544.0,1.196,8.0,שניר
371.0,כדורי,340,,,,כדורי
1322.0,הודיות,340,293.0,-2.297,1.0,הודיות
585.0,לביא,330,640.0,-1.109,2.0,לביא
307.0,הזורעים,310,915.0,-0.381,4.0,הזורעים
786.0,כפר זיתים,310,758.0,-0.188,5.0,כפר זיתים
1162.0,בית רימון,330,623.0,0.159,6.0,בית רימון
365.0,בית קשת,330,591.0,0.268,6.0,בית קשת
49.0,אילנייה,310,484.0,0.558,7.0,אילנייה
721.0,שדה אילן,310,541.0,0.691,7.0,שדה אילן
701.0,ארבל,310,673.0,0.95,7.0,ארבל
255.0,כפר חיטים,320,666.0,0.999,8.0,כפר חיטים
1190.0,מצפה נטופה,370,851.0,1.033,8.0,מצפה נטופה
306.0,שדמות דבורה,310,656.0,1.078,8.0,שדמות דבורה
292.0,שרונה,310,581.0,1.092,8.0,שרונה
388.0,כפר קיש,310,520.0,1.119,8.0,כפר קיש
1293.0,גבעת אבני,190,2082.0,1.163,8.0,גבעת אבני
1258.0,מסד,370,354.0,1.293,8.0,מסד
58.0,מצפה,350,144.0,1.325,8.0,מצפה
1262.0,צוקים,370,289.0,0.526,7.0,צוקים
1176.0,ספיר,350,374.0,0.567,7.0,ספיר
806.0,עין יהב,310,665.0,0.66,7.0,עין יהב
13.0,חצבה,310,566.0,0.676,7.0,חצבה
1175.0,עידן,310,360.0,0.936,7.0,עידן
1151.0,פארן,310,435.0,1.217,8.0,פארן
1150.0,צופר,310,394.0,1.275,8.0,צופר
3723.0,פני חבר,370,432.0,-1.077,2.0,פני חבר
3724.0,נגוהות,370,288.0,-0.49,3.0,נגוהות
3748.0,עתניאל,370,909.0,-0.457,3.0,עתניאל
3657.0,מעון,320,502.0,-0.413,4.0,מעון
3756.0,סוסיה,370,1041.0,-0.41,4.0,סוסיה
3719.0,תלם,320,336.0,-0.4,4.0,תלם
3764.0,חגי,370,535.0,-0.234,4.0,חגי
3745.0,מצדות יהודה,320,467.0,-0.031,5.0,מצדות יהודה
3656.0,כרמל,320,407.0,0.013,5.0,כרמל
3784.0,שמעה,370,538.0,0.016,5.0,שמעה
3759.0,אדורה,370,404.0,0.091,5.0,אדורה
3743.0,טנא,370,756.0,0.356,6.0,טנא
3777.0,סנסנה,370,334.0,0.458,6.0,סנסנה
3722.0,אשכולות,370,494.0,0.717,7.0,אשכולות
