semel,school_name_budget,budget_year,district,authority_name,authority_code,sector,supervision,legal_status,education_stage,education_type,nurture_quintile_raw,strength_band,students_regular,students_special,classes_regular,avg_class_size,budget_total,cost_teaching,cost_tuition,cost_perimeter,cost_projects,cost_purchases,cost_transport,hours_private,nurture_quintile
440180,מקיף הדסים,תשעה,מרכז,אבן יהודה,1826,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,1521,0,46.0,33.06521739130435,30044964.32107,7855275.8346,17583399.62000001,1822936.28,121340.81999999999,911762.5364699959,-20923.32,115.41416666666667,1.0
440198,"דרכא ע""ש מנחם בגין",תשעה,מרכז,גדרה,25502,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 2 חטיבה עליונה 2,בינוני - חזק,1040,8,33.0,31.515151515151516,21869051.847348772,8486662.2763,9146133.59,1202709.94,83111.55,283301.46104877576,-12836.08,137.28,2.0
440206,תיכון דתי באר יעקב,תשעה,מרכז,באר יעקב,25304,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,נוער בסיכון,בינוני,469,0,23.0,20.391304347826086,15580503.690905029,0.0,14631882.39,1092.43,361735.15,66847.94090503294,518945.77999999997,0.0,
440214,בית רבקה,תשעה,מרכז,שדות דן,4000000,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,511,0,17.0,30.058823529411764,10746231.661887346,0.0,9843800.579999998,1457.66,63243.74,53157.76188734981,-7086.08,0.0,1.0
440222,הישיבה הגדולה יסודות,תשעה,מרכז,נחל שורק,3100000,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,59,0,2.0,29.5,415953.22661192424,0.0,414688.39999999997,0.0,993.0,1019.946611924246,-748.12,0.0,2.0
440230,כתר תורה,תשעה,מרכז,יבנה,26609,יהודי,חרדי,תרבותי-ייחודי,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,31,0,3.0,10.333333333333334,232167.62556531865,0.0,230886.53,0.0,918.1200000000001,647.1755653186591,-284.2,0.0,3.0
440248,בן-גוריון נס-ציונה,תשעה,מרכז,נס ציונה,72009,יהודי,ממלכתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,1330,43,42.0,31.666666666666668,23909142.12892882,7810120.1167,14540400.389999997,1266175.56,162473.19,119225.17222882368,-21689.32,121.44,1.0
440255,תיכון בית חנה,תשעה,תל אביב,נתניה,74005,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 3,בינוני,269,0,9.0,29.88888888888889,5581902.269283526,0.0,5500993.669999999,570.67,50265.7,32669.229283527868,-2597.0,0.0,3.0
440263,עיוני בית יעקב,תשעה,תל אביב,פתח תקוה,79004,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,523,0,14.0,37.357142857142854,8725855.655658321,0.0,8602316.22,485.88,111573.70000000001,10248.455658322926,1231.4000000000005,0.0,1.0
440289,מקיף יהוד,תשעה,מרכז,יהוד נווה אפרים,13573,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,1638,45,50.0,32.76,36203917.54815089,0.0,35385619.230000004,434944.96,258685.39,150689.84815087865,-26021.88,0.0,1.0
440297,ישיבת כפר גנים,תשעה,תל אביב,פתח תקוה,79004,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,472,34,16.0,29.5,14333322.980565533,5138657.481199999,6458253.430000002,1225633.38,260237.06,174776.75936552807,-7724.879999999999,90.25333333333333,1.0
440305,מכון ש.פ.י.,תשעה,מרכז,יהוד נווה אפרים,13573,יהודי,ממלכתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 2,בינוני - חזק,48,0,4.0,12.0,709952.4274847014,0.0,663172.5800000001,1307.66,4561.200000000001,41404.10748470111,-493.12,0.0,2.0
440313,תיכון בית יעקב,תשעה,מרכז,רחובות,84004,יהודי,חרדי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,365,0,12.0,30.416666666666668,6756173.4215102475,0.0,6642394.789999999,1353.31,46428.45999999999,19964.021510250386,46032.840000000004,0.0,1.0
440321,"ישיבת בנ""ע כפר הרואה",תשעה,מרכז,עמק חפר,1600000,יהודי,ממלכתי דתי,מוכר,עליונה בלבד,רגיל,חטיבה עליונה 1,חזק,117,0,4.0,29.25,3766499.7900264505,0.0,3013903.170000001,221473.07,31119.18,491472.37002645084,8532.0,0.0,1.0
440339,ישיבת נחלים,תשעה,מרכז,חבל מודיעין,2500000,יהודי,ממלכתי דתי,רשמי,"חט""ב ועליונה",רגיל,חטיבה ביניים 1 חטיבה עליונה 1,חזק,511,13,18.0,28.38888888888889,11413633.178331198,4995220.6383,5343764.660000001,589205.24,76730.05,78734.79003119608,-7863.4800000000005,79.49999999999999,1.0
